sitio,fecha,mes,transecto,cuadrante,Pocillopora spp,Pavona clavus,Pavona gigantea,Pavona varians,Porites lobata
PS,4/23/2014,4,1,1,0,0,0,0,0
PS,4/23/2014,4,1,2,0,0,0,0,0
PS,4/23/2014,4,1,3,1,0,0,0,0
PS,4/23/2014,4,2,1,0,0,0,0,0
PS,4/23/2014,4,2,2,0,0,0,0,0
PS,4/23/2014,4,2,3,1,0,0,0,0
PS,4/23/2014,4,3,1,0,0,0,0,0
PS,4/23/2014,4,3,2,0,0,0,0,0
PS,4/23/2014,4,3,3,1,0,0,0,0
PS,4/23/2014,4,4,1,0,0,0,0,0
PS,4/23/2014,4,4,2,0,0,0,0,0
PS,4/23/2014,4,4,3,1,0,0,0,0
PS,4/23/2014,4,5,1,0,0,0,0,0
PS,4/23/2014,4,5,2,0,0,0,0,0
PS,4/23/2014,4,5,3,1,0,0,0,0
PS,5/10/2014,5,1,1,0,1,0,0,0
PS,5/10/2014,5,1,2,0,0,0,0,0
PS,5/10/2014,5,1,3,1,0,0,0,0
PS,5/10/2014,5,2,1,1,0,0,0,0
PS,5/10/2014,5,2,2,1,0,0,0,0
PS,5/10/2014,5,2,3,1,0,0,0,0
PS,5/10/2014,5,3,1,0,0,0,0,0
PS,5/10/2014,5,3,2,0,0,0,0,0
PS,5/10/2014,5,3,3,1,1,0,0,0
PS,5/10/2014,5,4,1,0,0,0,0,0
PS,5/10/2014,5,4,2,0,0,0,0,0
PS,5/10/2014,5,4,3,1,0,0,0,0
PS,5/10/2014,5,5,1,0,0,0,0,0
PS,5/10/2014,5,5,2,0,0,0,0,0
PS,5/10/2014,5,5,3,1,0,0,0,0
PS,6/22/2014,6,1,1,0,0,0,0,0
PS,6/22/2014,6,1,2,0,0,0,0,0
PS,6/22/2014,6,1,3,1,0,0,0,0
PS,6/22/2014,6,2,1,0,0,0,0,0
PS,6/22/2014,6,2,2,0,0,0,0,0
PS,6/22/2014,6,2,3,1,0,0,0,0
PS,6/22/2014,6,3,1,0,0,0,0,0
PS,6/22/2014,6,3,2,0,0,0,0,0
PS,6/22/2014,6,3,3,1,0,0,0,0
PS,6/22/2014,6,4,1,0,0,0,0,0
PS,6/22/2014,6,4,2,0,1,0,0,0
PS,6/22/2014,6,4,3,1,0,0,0,0
PS,6/22/2014,6,5,1,0,0,0,0,0
PS,6/22/2014,6,5,2,0,0,0,0,0
PS,6/22/2014,6,5,3,1,0,0,0,0
PS,7/9/2014,7,1,1,1,0,0,0,0
PS,7/9/2014,7,1,2,0,0,0,0,0
PS,7/9/2014,7,1,3,0,0,0,0,0
PS,7/9/2014,7,2,1,1,0,0,0,0
PS,7/9/2014,7,2,2,0,0,0,0,0
PS,7/9/2014,7,2,3,0,0,0,0,0
PS,7/9/2014,7,3,1,1,0,0,0,0
PS,7/9/2014,7,3,2,0,0,0,0,0
PS,7/9/2014,7,3,3,0,0,0,0,0
PS,7/9/2014,7,4,1,1,0,0,0,0
PS,7/9/2014,7,4,2,0,0,0,0,0
PS,7/9/2014,7,4,3,0,1,0,0,0
PS,7/9/2014,7,5,1,1,0,0,0,0
PS,7/9/2014,7,5,2,0,0,0,0,0
PS,7/9/2014,7,5,3,0,0,0,0,0
